,View 1,View 2,View 3
Sun (PINED FOR NOW),,,
  Mass,1989208.848,1989208.848,1989208.848
  Init Velocity (Z),0,0,0
  Diameter,0.001400499,0.914399506,370.8729
  Pos. X,0,0,9315.8
  Pos. Y,0,0,0
  Orbit Scale,1,1,1
Mercury,,,
  Mass,0.330117636,0.330117636,0.330117636
  Init Velocity (Z),0.05,0.05,0.05
  Diameter,4.88074E-06,0.101599945,0.101599945
  Pos. X,0.057761712,0.057761712,0.057761712
  Pos. Y,0.00441072,0.00441072,0.00441072
  Orbit Scale,1,12.2769068,12.2769068
Venus,,,
  Mass,4.871736026,4.871736026,4.871736026
  Init Velocity (Z),0.036,0.036,0.036
  Diameter,1.21083E-05,0.20319989,0.20319989
  Pos. X,0.108238358,0.108238358,0.108238358
  Pos. Y,0.001448409,0.001448409,0.001448409
  Orbit Scale,1,9.385845404,9.385845404
Earth,,,
  Mass,5.972128147,5.972128147,5.972128147
  Init Velocity (Z),0.03,0.03,0
  Diameter,1.27605E-05,0.228599877,30
  Pos. X,0.149493559,0.149493559,0
  Pos. Y,-0.006875616,-0.006875616,-15
  Orbit Scale,1,9.504738531,1
Moon,,,
  Mass,0.073026023,0.073026023,0.073026023
  Init Velocity (Z),0.001,0.001,0.001
  Diameter,3.47624E-06,0.135,9.253285
  Pos. X,0.149878,0.149878,238.9
  Pos. Y,-0.006858,-0.006858,0
  Orbit Scale,1,9.504738531,9.504738531
Mars,,,
  Mass,0.642228856,0.642228856,0.642228856
  Init Velocity (Z),0.0241,0.0241,0.0241
  Diameter,6.79442E-06,0.152399918,0.152399918
  Pos. X,0.228000962,0.228000962,0.228000962
  Pos. Y,-0.003316373,-0.003316373,-0.003316373
  Orbit Scale,1,8.020166085,8.020166085
Jupiter,,,
  Mass,1898.676587,1898.676587,1898.676587
  Init Velocity (Z),0.013,0.013,0.013
  Diameter,0.000143035,0.558799698,0.558799698
  Pos. X,0.778407461,0.778407461,0.778407461
  Pos. Y,-0.018117634,-0.018117634,-0.018117634
  Orbit Scale,1,3.262187258,3.262187258
Saturn,,,
  Mass,568.2024769,568.2024769,568.2024769
  Init Velocity (Z),0.00966,0.00966,0.00966
  Diameter,0.000120579,0.507999726,0.507999726
  Pos. X,1.427171126,1.427171126,1.427171126
  Pos. Y,-0.003321183,-0.003321183,-0.003321183
  Orbit Scale,1,2.206876045,2.206876045
Uranus,,,
  Mass,86.8309419,86.8309419,86.8309419
  Init Velocity (Z),0.0068,0.0068,0.0068
  Diameter,5.11362E-05,0.304799835,0.304799835
  Pos. X,2.870211535,2.870211535,2.870211535
  Pos. Y,-0.091871531,-0.091871531,-0.091871531
  Orbit Scale,1,1.309058115,1.309058115
Neptune,,,
  Mass,102.0363603,102.0363603,102.0363603
  Init Velocity (Z),0.00545,0.00545,0.00545
  Diameter,4.95457E-05,0.253999863,0.253999863
  Pos. X,4.499524044,4.499524044,4.499524044
  Pos. Y,-0.065447537,-0.065447537,-0.065447537
  Orbit Scale,1,0.948266155,0.948266155
Universe Controller,,,
  DisplayedYMult,1,1,1
