,View 1,View 2,View 3
Sun (PINED FOR NOW),,,
  Mass,1989208.848,1989208.848,1989208.848
  Init Velocity (Z),0,0,0
  Diameter,0.001400499,0.914399506,7682.659141
  Pos. X,0,0,0
  Pos. Y,0,0,0
  Orbit Scale,1,1,548565.818
Mercury,,,
  Mass,0.330117636,0.330117636,0.330117636
  Init Velocity (Z),0.0474,0.0474,0.0474
  Diameter,4.88E-06,0.101599945,0
  Pos. X,0.057761712,0.057761712,0.057761712
  Pos. Y,0.00441072,0.00441072,0.00441072
  Orbit Scale,1,12.2769068,1
Venus,,,
  Mass,4.871736026,4.871736026,4.871736026
  Init Velocity (Z),0.035,0.035,0.035
  Diameter,1.21E-05,0.20319989,0
  Pos. X,0.108238358,0.108238358,0.108238358
  Pos. Y,0.001448409,0.001448409,0.001448409
  Orbit Scale,1,9.385845404,1
Earth,,,
  Mass,5.972128147,5.972128147,5.972128147
  Init Velocity (Z),0.0298,0.0298,0.0298
  Diameter,1.28E-05,0.228599877,70
  Pos. X,0.149493559,0.149493559,0.149493559
  Pos. Y,-0.006875616,-0.006875616,-0.006875616
  Orbit Scale,1,9.504738531,1
Moon,,,
  Mass,0.073026023,0.073026023,0.073026023
  Init Velocity (Z),0.001,0.001,0.035
  Diameter,3.48E-06,0.050799973,19.06945751
  Pos. X,0.149878,0.149878,0.149878
  Pos. Y,-0.006858,-0.006858,-0.006858
  Orbit Scale,1,10.49613305,548565.818
Mars,,,
  Mass,0.642228856,0.642228856,0.642228856
  Init Velocity (Z),0.0241,0.0241,0.0241
  Diameter,6.79E-06,0.152399918,0
  Pos. X,0.228000962,0.228000962,0.228000962
  Pos. Y,-0.003316373,-0.003316373,-0.003316373
  Orbit Scale,1,8.020166085,1
Jupiter,,,
  Mass,1898.676587,1898.676587,1898.676587
  Init Velocity (Z),0.0131,0.0131,0.0131
  Diameter,0.000143035,0.558799698,0
  Pos. X,0.778407461,0.778407461,0.778407461
  Pos. Y,-0.018117634,-0.018117634,-0.018117634
  Orbit Scale,1,3.262187258,1
Saturn,,,
  Mass,568.2024769,568.2024769,568.2024769
  Init Velocity (Z),0.0097,0.0097,0.0097
  Diameter,0.000120579,0.507999726,0
  Pos. X,1.427171126,1.427171126,1.427171126
  Pos. Y,-0.003321183,-0.003321183,-0.003321183
  Orbit Scale,1,2.206876045,1
Uranus,,,
  Mass,86.8309419,86.8309419,86.8309419
  Init Velocity (Z),0.0068,0.0068,0.0068
  Diameter,5.11E-05,0.304799835,0
  Pos. X,2.870211535,2.870211535,2.870211535
  Pos. Y,-0.091871531,-0.091871531,-0.091871531
  Orbit Scale,1,1.309058115,1
Neptune,,,
  Mass,102.0363603,102.0363603,102.0363603
  Init Velocity (Z),0.0054,0.0054,0.0054
  Diameter,4.95E-05,0.253999863,0
  Pos. X,4.499524044,4.499524044,4.499524044
  Pos. Y,-0.065447537,-0.065447537,-0.065447537
  Orbit Scale,1,0.948266155,1
Universe Controller,,,
  DisplayedYMult,1,1,1
